"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"8/09/2016,PUENTE HORMIGUERO,6.48,51.8,99.3,0.69"
"8/09/2016,ANTES INTERCEPTOR SUR,7.09,120,104,0.63"
"8/09/2016,JUANCHITO,7.24,28,110,0.62"
"8/09/2016,PASO DEL COMERCIO,7.26,47,138,0.64"
"8/09/2016,PUERTO ISAACS,7.07,14,158,0.59"
"8/09/2016,PASO DE LA TORRE,7.17,32,177,1.21"
"8/09/2016,VIJES,6.82,71,187,0.35"
"8/09/2016,YOTOCO,6.81,17,181,0.72"
"8/09/2016,MEDIACANOA,7.26,52,183,0.49"
"8/09/2016,RIOFRIO,7.11,46.2,161,1.62"
"8/09/2016,PUENTE GUAYABAL,7.14,42,166,1.62"
"8/09/2016,LA VICTORIA,7.04,32.5,156,2.65"
"8/09/2016,ANACARO,7.03,66,159,3.32"
"8/09/2016,PUENTE LA VIRGINIA,7.02,108,167,2.62"
"5/11/2016,ANTES SUAREZ,7.03,11.6,106,0.498"
"5/11/2016,ANTES RIO OVEJAS,6.77,11.6,105,0.618"
"5/11/2016,ANTES RIO TIMBA,7.28,42,90.2,0.748"
"5/11/2016,PASO DE LA BALSA,7.48,56.5,90.7,1.19"
"5/11/2016,PASO DE LA BOLSA,7.19,59,88.3,1.04"
"5/11/2016,PUENTE HORMIGUERO,7.14,152,91.4,1.22"
"5/11/2016,ANTES INTERCEPTOR SUR,7.19,186,92.6,1.11"
"5/11/2016,JUANCHITO,7.09,250,102,1.7"
"5/11/2016,PASO DEL COMERCIO,7.2,144,113,1.15"
"5/11/2016,PUERTO ISAACS,7.26,224,111,1.64"
"5/11/2016,PASO DE LA TORRE,7.11,180,133,1.5"
"5/11/2016,VIJES,7.38,212,151,1.33"
"5/11/2016,YOTOCO,7.6,213,143,1.96"
"5/11/2016,MEDIACANOA,7.78,550,146,2.16"
"5/11/2016,RIOFRIO,7.45,415,139,1.88"
"5/11/2016,PUENTE GUAYABAL,7.59,258,150,2.6"
"5/11/2016,LA VICTORIA,7.41,92,197,1.77"
"5/11/2016,ANACARO,7.51,44,153,1.62"
"5/11/2016,PUENTE LA VIRGINIA,7.64,125,147,1.9"
"29/11/2016,ANTES SUAREZ,7.48,38,79,3.03"
"29/11/2016,ANTES RIO OVEJAS,7.18,40,74,1.02"
"29/11/2016,ANTES RIO TIMBA,7.38,54,77.2,1.28"
"29/11/2016,PASO DE LA BALSA,7.37,58,74,1.35"
"29/11/2016,PASO DE LA BOLSA,7.58,108,77.2,1.02"
"29/11/2016,PUENTE HORMIGUERO,7.51,193,97,0.98"
"29/11/2016,ANTES INTERCEPTOR SUR,7.49,60,100,0.92"
"29/11/2016,JUANCHITO,7.52,70,98.8,1.38"
"29/11/2016,PASO DEL COMERCIO,7.56,84,111,1.77"
"29/11/2016,PUERTO ISAACS,7.33,56,120,1.4"
"29/11/2016,PASO DE LA TORRE,7.4,54,133,1.67"
"29/11/2016,VIJES,7.46,126,141,1.68"
"29/11/2016,YOTOCO,7.15,158,169,2.1"
"29/11/2016,MEDIACANOA,7.65,163,148,1.58"
"29/11/2016,RIOFRIO,7.32,200,145,1.32"
"29/11/2016,PUENTE GUAYABAL,7.06,217,151,2.44"
"29/11/2016,LA VICTORIA,7.05,210,149,1.58"
"29/11/2016,ANACARO,7.06,223,171,1.22"
"29/11/2016,PUENTE LA VIRGINIA,7.03,243,140,1.56"
"7/05/2017,ANTES SUAREZ,7.04,11.6,80,0.51"
"7/05/2017,ANTES RIO OVEJAS,7.16,11.6,70.7,0.33"
"7/05/2017,ANTES RIO TIMBA,7.51,11.6,68.7,0.067"
"7/05/2017,PASO DE LA BALSA,7.51,11.6,68,0.36"
"7/05/2017,PASO DE LA BOLSA,7.71,100,72.3,0.4"
"7/05/2017,PUENTE HORMIGUERO,6.55,130,98.7,0.415"
"7/05/2017,ANTES INTERCEPTOR SUR,7.12,19,101,0.48"
"7/05/2017,JUANCHITO,7.08,29,100,0.405"
"7/05/2017,PASO DEL COMERCIO,7.19,53,112,0.505"
"7/05/2017,PUERTO ISAACS,7.04,33,121,0.395"
"7/05/2017,PASO DE LA TORRE,7.18,15,148,0.395"
"7/05/2017,VIJES,7.79,150,142,0.455"
"7/05/2017,YOTOCO,7.5,70,177,0.48"
"7/05/2017,MEDIACANOA,7.71,97,171,0.875"
"7/05/2017,RIOFRIO,7.59,114,182,0.54"
"7/05/2017,PUENTE GUAYABAL,7.36,170,192,0.73"
"7/05/2017,LA VICTORIA,7.47,277,183,0.7"
"7/05/2017,ANACARO,7.47,242,189,0.75"
"7/05/2017,PUENTE LA VIRGINIA,7.55,196,166,0.355"
"5/09/2017,ANTES SUAREZ,7.41,14,65.1,1.1"
"5/09/2017,ANTES RIO OVEJAS,7.4,21,64.4,2.35"
"5/09/2017,ANTES RIO TIMBA,7.37,220,60.4,0.5"
"5/09/2017,PASO DE LA BALSA,7.54,118,98.4,0.61"
"5/09/2017,PASO DE LA BOLSA,7.68,184,64.1,1.77"
"5/09/2017,PUENTE HORMIGUERO,7.45,240,1.706,1.18"
"5/09/2017,ANTES INTERCEPTOR SUR,7.7,357,92.6,0.82"
"5/09/2017,JUANCHITO,7.79,307,589,1.58"
"5/09/2017,PASO DEL COMERCIO,7.7,169,96,1.64"
"5/09/2017,PUERTO ISAACS,7.38,289,119,1.63"
"5/09/2017,PASO DE LA TORRE,7.7,196,136,0.95"
"5/09/2017,VIJES,7.11,180,139,2.81"
"5/09/2017,YOTOCO,7.33,190,165,1.71"
"5/09/2017,MEDIACANOA,7.39,231,160,1.02"
"5/09/2017,RIOFRIO,6.96,213,150,2.17"
"5/09/2017,PUENTE GUAYABAL,7.4,367,140,2.68"
"5/09/2017,LA VICTORIA,7.45,425,135,1.92"
"5/09/2017,ANACARO,7.37,325,137,4.01"
"5/09/2017,PUENTE LA VIRGINIA,7.24,583,134,3.64"
"18/10/2017,ANTES SUAREZ,6.74,20,114,0.0921"
"18/10/2017,ANTES RIO OVEJAS,6.85,20,114,0.0921"
"18/10/2017,ANTES RIO TIMBA,6.65,24,108,0.0921"
"18/10/2017,PASO DE LA BALSA,6.63,29.3,94.2,0.13"
"18/10/2017,PASO DE LA BOLSA,6.92,54,108,0.26"
"18/10/2017,PUENTE HORMIGUERO,6.99,59,122,0.66"
"18/10/2017,ANTES INTERCEPTOR SUR,6.92,28.5,140,0.54"
"18/10/2017,JUANCHITO,7.13,68.1,169,0.5"
"18/10/2017,PASO DEL COMERCIO,6.96,63.3,143,0.57"
"18/10/2017,PUERTO ISAACS,7.09,56.6,161,0.63"
"18/10/2017,PASO DE LA TORRE,7.08,41,200,2.83"
"18/10/2017,VIJES,6.85,21.5,205,0.53"
"18/10/2017,YOTOCO,7.36,17,210,0.25"
"18/10/2017,MEDIACANOA,7.05,27,198,0.65"
"18/10/2017,RIOFRIO,7.38,51,195,0.85"
"18/10/2017,PUENTE GUAYABAL,7.15,40,196,4.7"
"18/10/2017,LA VICTORIA,7.12,117,201,3.91"
"18/10/2017,ANACARO,7.5,51,193,2.48"
"18/10/2017,PUENTE LA VIRGINIA,7.35,77.8,191,3.57"
"3/06/2018,ANTES SUAREZ,7.28,11.6,74.3,0.52"
"3/06/2018,ANTES RIO OVEJAS,7.38,11.6,71.2,0.49"
